station_name,station_code,time_index,target,prediction,horizon
大兴旧宫,3675A,18,2.0,13.34957504272461,6
大兴旧宫,3675A,19,2.0,9.503701210021973,6
大兴旧宫,3675A,20,2.0,7.69481086730957,6
大兴旧宫,3675A,21,2.0,3.0215985774993896,6
大兴旧宫,3675A,22,2.0,3.5385217666625977,6
大兴旧宫,3675A,23,2.0,4.994021415710449,6
大兴旧宫,3675A,24,2.0,5.080660820007324,6
大兴旧宫,3675A,25,2.0,4.483944416046143,6
大兴旧宫,3675A,26,2.0,5.071771621704102,6
大兴旧宫,3675A,27,2.0,4.317813396453857,6
大兴旧宫,3675A,28,2.0,4.108002662658691,6
大兴旧宫,3675A,29,3.0,4.117979526519775,6
大兴旧宫,3675A,30,7.0,7.661816596984863,6
大兴旧宫,3675A,31,18.0,18.654869079589844,6
大兴旧宫,3675A,32,28.0,28.69942283630371,6
大兴旧宫,3675A,33,38.0,30.766992568969727,6
大兴旧宫,3675A,34,45.0,39.60296630859375,6
大兴旧宫,3675A,35,39.0,47.83233642578125,6
大兴旧宫,3675A,36,35.0,46.09040832519531,6
大兴旧宫,3675A,37,21.0,38.680912017822266,6
大兴旧宫,3675A,38,162.0,36.70947265625,6
大兴旧宫,3675A,39,11.0,27.361963272094727,6
大兴旧宫,3675A,40,6.0,26.17898941040039,6
大兴旧宫,3675A,41,7.0,16.117029190063477,6
大兴旧宫,3675A,42,2.0,14.063319206237793,6
大兴旧宫,3675A,43,2.0,9.874716758728027,6
大兴旧宫,3675A,44,2.0,11.905852317810059,6
大兴旧宫,3675A,45,2.0,4.845254421234131,6
大兴旧宫,3675A,46,2.0,5.455733776092529,6
大兴旧宫,3675A,47,2.0,5.713466167449951,6
大兴旧宫,3675A,48,3.0,4.451591491699219,6
大兴旧宫,3675A,49,3.0,6.922600746154785,6
大兴旧宫,3675A,50,3.0,7.251349925994873,6
大兴旧宫,3675A,51,3.0,4.916518211364746,6
大兴旧宫,3675A,52,3.0,5.55458402633667,6
大兴旧宫,3675A,53,4.0,11.184678077697754,6
大兴旧宫,3675A,54,7.0,23.610570907592773,6
大兴旧宫,3675A,55,16.0,30.304792404174805,6
大兴旧宫,3675A,56,23.0,34.90677261352539,6
大兴旧宫,3675A,57,29.0,40.17620849609375,6
大兴旧宫,3675A,58,37.0,49.27798080444336,6
大兴旧宫,3675A,59,41.0,48.3136100769043,6
大兴旧宫,3675A,60,45.0,42.294898986816406,6
大兴旧宫,3675A,61,40.0,25.067607879638672,6
大兴旧宫,3675A,62,22.0,12.58080768585205,6
大兴旧宫,3675A,63,19.0,7.276184558868408,6
大兴旧宫,3675A,64,13.0,4.436606407165527,6
大兴旧宫,3675A,65,4.0,2.9884486198425293,6
大兴旧宫,3675A,66,3.0,3.496466875076294,6
大兴旧宫,3675A,67,2.0,3.160088062286377,6
大兴旧宫,3675A,68,2.0,2.2902002334594727,6
大兴旧宫,3675A,69,2.0,2.6508753299713135,6
大兴旧宫,3675A,70,2.0,2.854494571685791,6
大兴旧宫,3675A,71,3.0,2.1334569454193115,6
大兴旧宫,3675A,72,3.0,2.067521572113037,6
大兴旧宫,3675A,73,3.0,2.019970655441284,6
大兴旧宫,3675A,74,3.0,3.2720232009887695,6
大兴旧宫,3675A,75,2.0,2.095304489135742,6
大兴旧宫,3675A,76,3.0,2.799220323562622,6
大兴旧宫,3675A,77,4.0,6.257668972015381,6
大兴旧宫,3675A,78,23.0,14.280608177185059,6
大兴旧宫,3675A,79,38.0,22.193553924560547,6
大兴旧宫,3675A,80,55.000003814697266,32.66648483276367,6
大兴旧宫,3675A,81,62.000003814697266,35.56748962402344,6
大兴旧宫,3675A,82,64.0,42.43122482299805,6
大兴旧宫,3675A,83,63.0,46.59614181518555,6
大兴旧宫,3675A,84,63.0,51.20143508911133,6
大兴旧宫,3675A,85,48.0,45.01021957397461,6
大兴旧宫,3675A,86,14.999999046325684,27.65185546875,6
大兴旧宫,3675A,87,3.0,24.750978469848633,6
大兴旧宫,3675A,88,3.0,19.869213104248047,6
大兴旧宫,3675A,89,3.0,12.479220390319824,6
大兴旧宫,3675A,90,3.0,7.146871089935303,6
大兴旧宫,3675A,91,3.0,4.2657294273376465,6
大兴旧宫,3675A,92,3.0,3.844601631164551,6
大兴旧宫,3675A,93,3.0,4.9828572273254395,6
大兴旧宫,3675A,94,2.0,6.101338863372803,6
大兴旧宫,3675A,95,2.0,7.289495468139648,6
大兴旧宫,3675A,96,2.0,4.934429168701172,6
大兴旧宫,3675A,97,3.0,4.617347717285156,6
大兴旧宫,3675A,98,3.0,7.1508941650390625,6
大兴旧宫,3675A,99,3.0,3.9354679584503174,6
大兴旧宫,3675A,100,3.0,3.9579732418060303,6
大兴旧宫,3675A,101,6.0,6.537915229797363,6
大兴旧宫,3675A,102,18.0,14.209705352783203,6
大兴旧宫,3675A,103,26.999998092651367,21.210044860839844,6
大兴旧宫,3675A,104,33.0,27.8247013092041,6
大兴旧宫,3675A,105,38.0,31.828947067260742,6
大兴旧宫,3675A,106,33.0,34.96710205078125,6
大兴旧宫,3675A,107,39.0,38.92536163330078,6
大兴旧宫,3675A,108,31.000001907348633,36.12040710449219,6
大兴旧宫,3675A,109,23.0,21.76000213623047,6
大兴旧宫,3675A,110,9.0,10.997047424316406,6
大兴旧宫,3675A,111,2.0,6.1757378578186035,6
大兴旧宫,3675A,112,3.0,5.56936502456665,6
大兴旧宫,3675A,113,3.0,4.545379638671875,6
大兴旧宫,3675A,114,3.0,3.378721237182617,6
大兴旧宫,3675A,115,3.0,3.372882843017578,6
大兴旧宫,3675A,116,3.0,3.346390962600708,6
大兴旧宫,3675A,117,7.0,3.9456982612609863,6
大兴旧宫,3675A,118,47.0,6.632767200469971,6
大兴旧宫,3675A,119,52.0,12.408020973205566,6
大兴旧宫,3675A,120,56.0,16.58916664123535,6
大兴旧宫,3675A,121,57.0,29.80083656311035,6
大兴旧宫,3675A,122,59.0,42.641841888427734,6
大兴旧宫,3675A,123,61.000003814697266,49.996761322021484,6
大兴旧宫,3675A,124,62.000003814697266,51.48220443725586,6
大兴旧宫,3675A,125,62.000003814697266,51.950157165527344,6
大兴旧宫,3675A,126,63.0,58.601470947265625,6
大兴旧宫,3675A,127,59.999996185302734,57.1168212890625,6
大兴旧宫,3675A,128,63.0,61.03478240966797,6
大兴旧宫,3675A,129,66.0,65.29257202148438,6
大兴旧宫,3675A,130,67.0,57.25862121582031,6
大兴旧宫,3675A,131,66.0,56.28556442260742,6
大兴旧宫,3675A,132,64.0,56.31154251098633,6
大兴旧宫,3675A,133,62.000003814697266,55.03847885131836,6
大兴旧宫,3675A,134,59.0,52.48480987548828,6
大兴旧宫,3675A,135,58.0,52.97835159301758,6
大兴旧宫,3675A,136,55.000003814697266,48.16787338256836,6
大兴旧宫,3675A,137,52.0,45.60791778564453,6
大兴旧宫,3675A,138,50.0,37.86587905883789,6
大兴旧宫,3675A,139,50.0,36.084293365478516,6
大兴旧宫,3675A,140,53.0,44.09616470336914,6
大兴旧宫,3675A,141,45.0,43.84107208251953,6
大兴旧宫,3675A,142,42.0,42.425785064697266,6
大兴旧宫,3675A,143,44.0,41.23801040649414,6
大兴旧宫,3675A,144,38.0,36.804039001464844,6
大兴旧宫,3675A,145,44.0,37.207096099853516,6
大兴旧宫,3675A,146,43.0,39.89860153198242,6
大兴旧宫,3675A,147,38.0,35.28825378417969,6
大兴旧宫,3675A,148,52.0,36.971832275390625,6
大兴旧宫,3675A,149,51.0,41.83315658569336,6
大兴旧宫,3675A,150,55.000003814697266,43.81410217285156,6
大兴旧宫,3675A,151,57.0,47.5964469909668,6
大兴旧宫,3675A,152,57.0,51.84260177612305,6
大兴旧宫,3675A,153,56.0,49.262855529785156,6
大兴旧宫,3675A,154,55.000003814697266,55.432594299316406,6
大兴旧宫,3675A,155,53.999996185302734,52.253177642822266,6
大兴旧宫,3675A,156,56.0,54.47631072998047,6
大兴旧宫,3675A,157,46.0,47.35113525390625,6
大兴旧宫,3675A,158,39.0,33.98847198486328,6
大兴旧宫,3675A,159,28.0,25.426748275756836,6
大兴旧宫,3675A,160,20.0,17.89285659790039,6
大兴旧宫,3675A,161,8.0,16.186113357543945,6
大兴旧宫,3675A,162,3.0,14.521957397460938,6
大兴旧宫,3675A,163,6.0,9.983224868774414,6
大兴旧宫,3675A,164,8.0,12.38610553741455,6
大兴旧宫,3675A,165,4.0,8.766982078552246,6
大兴旧宫,3675A,166,3.0,10.21014404296875,6
大兴旧宫,3675A,167,2.0,7.934636116027832,6
人民公园,1057A,0,43.0,51.02655029296875,6
人民公园,1057A,1,42.0,42.41332244873047,6
人民公园,1057A,2,38.0,42.67799758911133,6
人民公园,1057A,3,38.0,43.65275192260742,6
人民公园,1057A,4,35.0,44.140621185302734,6
人民公园,1057A,5,38.0,36.514705657958984,6
人民公园,1057A,6,36.0,36.206851959228516,6
人民公园,1057A,7,45.0,39.8182373046875,6
人民公园,1057A,8,49.0,48.193546295166016,6
人民公园,1057A,9,55.000003814697266,59.37518310546875,6
人民公园,1057A,10,70.0,58.495635986328125,6
人民公园,1057A,11,76.0,67.4891586303711,6
人民公园,1057A,12,78.0,66.23997497558594,6
人民公园,1057A,13,77.0,61.93607711791992,6
人民公园,1057A,14,71.0,55.64141082763672,6
人民公园,1057A,15,58.0,56.64385986328125,6
人民公园,1057A,16,53.999996185302734,55.84559631347656,6
人民公园,1057A,17,50.0,55.19682693481445,6
人民公园,1057A,18,48.0,53.99680709838867,6
人民公园,1057A,19,45.0,52.018402099609375,6
人民公园,1057A,20,45.0,51.550838470458984,6
人民公园,1057A,21,46.0,48.99373245239258,6
人民公园,1057A,22,48.0,49.70924758911133,6
人民公园,1057A,23,48.0,49.91363525390625,6
人民公园,1057A,24,47.0,48.17731857299805,6
人民公园,1057A,25,46.0,44.32095718383789,6
人民公园,1057A,26,42.0,44.54136657714844,6
人民公园,1057A,27,41.0,45.46454620361328,6
人民公园,1057A,28,38.0,39.832279205322266,6
人民公园,1057A,29,43.0,37.68946838378906,6
人民公园,1057A,30,46.0,37.01097869873047,6
人民公园,1057A,31,51.0,43.75099563598633,6
人民公园,1057A,32,57.0,50.364742279052734,6
人民公园,1057A,33,62.75,57.596839904785156,6
人民公园,1057A,34,68.5,63.09894943237305,6
人民公园,1057A,35,74.25,68.08050537109375,6
人民公园,1057A,36,80.0,63.570613861083984,6
人民公园,1057A,37,78.0,62.21624755859375,6
人民公园,1057A,38,72.0,57.66048812866211,6
人民公园,1057A,39,67.0,56.7576789855957,6
人民公园,1057A,40,57.0,57.09739303588867,6
人民公园,1057A,41,48.0,58.81223678588867,6
人民公园,1057A,42,55.000003814697266,57.4049072265625,6
人民公园,1057A,43,50.0,58.389434814453125,6
人民公园,1057A,44,51.0,56.17048645019531,6
人民公园,1057A,45,48.0,53.9637451171875,6
人民公园,1057A,46,51.0,54.12880325317383,6
人民公园,1057A,47,52.0,51.7880744934082,6
人民公园,1057A,48,52.0,54.50661849975586,6
人民公园,1057A,49,50.0,52.08769989013672,6
人民公园,1057A,50,52.0,49.14018249511719,6
人民公园,1057A,51,51.0,42.59136199951172,6
人民公园,1057A,52,47.0,46.26785659790039,6
人民公园,1057A,53,49.0,42.91607666015625,6
人民公园,1057A,54,52.0,48.23307800292969,6
人民公园,1057A,55,57.0,51.339027404785156,6
人民公园,1057A,56,59.999996185302734,60.68020248413086,6
人民公园,1057A,57,64.0,67.86190032958984,6
人民公园,1057A,58,62.000003814697266,70.83557891845703,6
人民公园,1057A,59,57.0,71.24742889404297,6
人民公园,1057A,60,48.0,63.60361862182617,6
人民公园,1057A,61,26.999998092651367,57.83000183105469,6
人民公园,1057A,62,22.0,49.518550872802734,6
人民公园,1057A,63,26.0,42.07099914550781,6
人民公园,1057A,64,28.0,40.94025421142578,6
人民公园,1057A,65,34.0,35.0258903503418,6
人民公园,1057A,66,46.0,35.80863571166992,6
人民公园,1057A,67,46.0,40.46108627319336,6
人民公园,1057A,68,40.0,40.21980285644531,6
人民公园,1057A,69,45.0,43.994850158691406,6
人民公园,1057A,70,42.0,49.21540451049805,6
人民公园,1057A,71,46.0,47.130767822265625,6
人民公园,1057A,72,42.0,51.275360107421875,6
人民公园,1057A,73,47.0,51.959510803222656,6
人民公园,1057A,74,47.0,44.12173080444336,6
人民公园,1057A,75,43.0,46.02910614013672,6
人民公园,1057A,76,42.0,38.463890075683594,6
人民公园,1057A,77,44.0,41.78554916381836,6
人民公园,1057A,78,48.0,43.22633361816406,6
人民公园,1057A,79,55.000003814697266,54.23004913330078,6
人民公园,1057A,80,68.0,65.51929473876953,6
人民公园,1057A,81,69.0,71.18965911865234,6
人民公园,1057A,82,70.0,70.9499282836914,6
人民公园,1057A,83,70.0,71.39117431640625,6
人民公园,1057A,84,69.0,77.69266510009766,6
人民公园,1057A,85,58.0,71.26348876953125,6
人民公园,1057A,86,44.0,61.623268127441406,6
人民公园,1057A,87,46.0,55.56130599975586,6
人民公园,1057A,88,50.0,47.532073974609375,6
人民公园,1057A,89,49.0,43.469581604003906,6
人民公园,1057A,90,48.0,43.21351623535156,6
人民公园,1057A,91,50.0,39.91046905517578,6
人民公园,1057A,92,49.0,40.013118743896484,6
人民公园,1057A,93,49.0,47.20062255859375,6
人民公园,1057A,94,50.0,51.368568420410156,6
人民公园,1057A,95,49.0,55.55437088012695,6
人民公园,1057A,96,49.0,43.4459342956543,6
人民公园,1057A,97,46.0,44.15079879760742,6
人民公园,1057A,98,44.0,43.291015625,6
人民公园,1057A,99,43.0,42.29477310180664,6
人民公园,1057A,100,43.0,35.667335510253906,6
人民公园,1057A,101,44.0,34.36019515991211,6
人民公园,1057A,102,48.0,37.10139846801758,6
人民公园,1057A,103,53.999996185302734,44.30101013183594,6
人民公园,1057A,104,59.999996185302734,56.19719696044922,6
人民公园,1057A,105,59.0,59.295753479003906,6
人民公园,1057A,106,59.999996185302734,60.83393478393555,6
人民公园,1057A,107,61.000003814697266,59.71750259399414,6
人民公园,1057A,108,53.0,55.65164566040039,6
人民公园,1057A,109,22.0,47.335052490234375,6
人民公园,1057A,110,11.0,43.239959716796875,6
人民公园,1057A,111,12.0,30.45527458190918,6
人民公园,1057A,112,26.0,22.879796981811523,6
人民公园,1057A,113,72.0,17.55899429321289,6
人民公园,1057A,114,67.0,10.400493621826172,6
人民公园,1057A,115,63.0,27.053016662597656,6
人民公园,1057A,116,69.0,34.089176177978516,6
人民公园,1057A,117,68.0,40.41341018676758,6
人民公园,1057A,118,69.0,71.59081268310547,6
人民公园,1057A,119,69.0,70.94815826416016,6
人民公园,1057A,120,71.0,63.59414291381836,6
人民公园,1057A,121,69.0,62.552818298339844,6
人民公园,1057A,122,70.0,63.69648742675781,6
人民公园,1057A,123,69.0,63.39955520629883,6
人民公园,1057A,124,67.0,63.296714782714844,6
人民公园,1057A,125,65.0,66.10773468017578,6
人民公园,1057A,126,66.0,69.01927947998047,6
人民公园,1057A,127,68.0,74.02935028076172,6
人民公园,1057A,128,72.0,75.2080078125,6
人民公园,1057A,129,74.0,76.12408447265625,6
人民公园,1057A,130,77.0,73.7691879272461,6
人民公园,1057A,131,79.0,76.1725845336914,6
人民公园,1057A,132,78.0,80.20094299316406,6
人民公园,1057A,133,76.0,81.83863067626953,6
人民公园,1057A,134,67.0,82.20891571044922,6
人民公园,1057A,135,59.999996185302734,73.78419494628906,6
人民公园,1057A,136,53.999996185302734,73.48802185058594,6
人民公园,1057A,137,49.0,68.5215835571289,6
人民公园,1057A,138,52.0,67.09558868408203,6
人民公园,1057A,139,45.0,64.32249450683594,6
人民公园,1057A,140,53.999996185302734,62.3863525390625,6
人民公园,1057A,141,58.0,65.7785873413086,6
人民公园,1057A,142,57.0,62.34868240356445,6
人民公园,1057A,143,59.999996185302734,60.0482063293457,6
